Bin, X, Count
288, 1.915368199358577E-4, 2.0
289, 1.9219957709826552E-4, 3.0
290, 1.9286233426067334E-4, 0.0
291, 1.9352509142308113E-4, 1.0
292, 1.9418784858548895E-4, 1.0
293, 1.9485060574789677E-4, 0.0
294, 1.955133629103046E-4, 1.0
295, 1.9617612007271238E-4, 1.0
296, 1.968388772351202E-4, 0.0
297, 1.9750163439752802E-4, 3.0
298, 1.9816439155993584E-4, 1.0
299, 1.9882714872234363E-4, 0.0
300, 1.9948990588475145E-4, 2.0
301, 2.0015266304715927E-4, 1.0
302, 2.008154202095671E-4, 1.0
303, 2.0147817737197488E-4, 1.0
304, 2.021409345343827E-4, 0.0
305, 2.0280369169679052E-4, 1.0
306, 2.034664488591983E-4, 2.0
307, 2.0412920602160613E-4, 0.0
308, 2.0479196318401395E-4, 0.0
309, 2.0545472034642177E-4, 1.0
310, 2.0611747750882956E-4, 0.0
311, 2.0678023467123738E-4, 1.0
312, 2.074429918336452E-4, 4.0
313, 2.0810574899605302E-4, 1.0
314, 2.087685061584608E-4, 1.0
315, 2.0943126332086863E-4, 0.0
316, 2.1009402048327645E-4, 0.0
317, 2.1075677764568427E-4, 5.0
318, 2.1141953480809206E-4, 3.0
319, 2.1208229197049988E-4, 2.0
320, 2.127450491329077E-4, 2.0
321, 2.134078062953155E-4, 1.0
322, 2.140705634577233E-4, 2.0
323, 2.1473332062013113E-4, 2.0
324, 2.1539607778253895E-4, 0.0
325, 2.1605883494494674E-4, 2.0
326, 2.1672159210735456E-4, 2.0
327, 2.1738434926976238E-4, 2.0
328, 2.180471064321702E-4, 3.0
329, 2.18709863594578E-4, 2.0
330, 2.193726207569858E-4, 3.0
331, 2.2003537791939363E-4, 2.0
332, 2.2069813508180145E-4, 3.0
333, 2.2136089224420924E-4, 2.0
334, 2.2202364940661706E-4, 1.0
335, 2.2268640656902488E-4, 2.0
336, 2.2334916373143267E-4, 1.0
337, 2.240119208938405E-4, 1.0
338, 2.246746780562483E-4, 0.0
339, 2.2533743521865613E-4, 1.0
340, 2.2600019238106392E-4, 2.0
341, 2.2666294954347174E-4, 1.0
342, 2.2732570670587956E-4, 0.0
343, 2.2798846386828738E-4, 1.0
344, 2.2865122103069517E-4, 0.0
345, 2.29313978193103E-4, 1.0
346, 2.299767353555108E-4, 2.0
347, 2.3063949251791863E-4, 2.0
348, 2.3130224968032642E-4, 0.0
349, 2.3196500684273424E-4, 1.0
350, 2.3262776400514206E-4, 2.0
351, 2.3329052116754986E-4, 0.0
352, 2.3395327832995767E-4, 0.0
353, 2.346160354923655E-4, 2.0
354, 2.352787926547733E-4, 3.0
355, 2.359415498171811E-4, 0.0
356, 2.3660430697958892E-4, 0.0
357, 2.3726706414199674E-4, 2.0
358, 2.3792982130440456E-4, 3.0
359, 2.3859257846681236E-4, 2.0
360, 2.3925533562922018E-4, 2.0
361, 2.39918092791628E-4, 0.0
362, 2.4058084995403581E-4, 0.0
363, 2.412436071164436E-4, 0.0
364, 2.4190636427885143E-4, 0.0
365, 2.4256912144125924E-4, 1.0
366, 2.4323187860366706E-4, 0.0
367, 2.4389463576607486E-4, 2.0
368, 2.445573929284827E-4, 4.0
369, 2.452201500908905E-4, 1.0
370, 2.458829072532983E-4, 0.0
371, 2.4654566441570613E-4, 4.0
372, 2.472084215781139E-4, 4.0
373, 2.478711787405217E-4, 1.0
374, 2.4853393590292954E-4, 0.0
375, 2.4919669306533736E-4, 1.0
376, 2.498594502277452E-4, 3.0
377, 2.50522207390153E-4, 0.0
378, 2.511849645525608E-4, 1.0
379, 2.5184772171496863E-4, 2.0
380, 2.525104788773764E-4, 0.0
381, 2.531732360397842E-4, 0.0
382, 2.5383599320219204E-4, 1.0
383, 2.5449875036459986E-4, 0.0
384, 2.551615075270077E-4, 1.0
385, 2.558242646894155E-4, 0.0
386, 2.564870218518233E-4, 0.0
387, 2.571497790142311E-4, 4.0
388, 2.578125361766389E-4, 1.0
389, 2.584752933390467E-4, 1.0
390, 2.5913805050145454E-4, 0.0
391, 2.5980080766386236E-4, 1.0
392, 2.604635648262702E-4, 2.0
393, 2.61126321988678E-4, 2.0
394, 2.617890791510858E-4, 2.0
395, 2.624518363134936E-4, 3.0
396, 2.631145934759014E-4, 3.0
397, 2.637773506383092E-4, 1.0
398, 2.6444010780071704E-4, 0.0
399, 2.6510286496312486E-4, 1.0
400, 2.657656221255327E-4, 2.0
401, 2.664283792879405E-4, 0.0
402, 2.6709113645034826E-4, 1.0
403, 2.677538936127561E-4, 0.0
404, 2.684166507751639E-4, 1.0
405, 2.690794079375717E-4, 1.0
406, 2.6974216509997954E-4, 0.0
407, 2.7040492226238736E-4, 5.0
408, 2.710676794247952E-4, 1.0
409, 2.71730436587203E-4, 0.0
410, 2.7239319374961076E-4, 1.0
411, 2.730559509120186E-4, 0.0
412, 2.737187080744264E-4, 1.0
413, 2.743814652368342E-4, 1.0
414, 2.7504422239924204E-4, 0.0
415, 2.7570697956164986E-4, 1.0
416, 2.763697367240577E-4, 1.0
417, 2.7703249388646544E-4, 3.0
418, 2.7769525104887326E-4, 1.0
419, 2.783580082112811E-4, 1.0
420, 2.790207653736889E-4, 2.0
421, 2.796835225360967E-4, 1.0
422, 2.8034627969850454E-4, 2.0
423, 2.8100903686091236E-4, 1.0
424, 2.816717940233202E-4, 1.0
425, 2.8233455118572794E-4, 0.0
426, 2.8299730834813576E-4, 3.0
427, 2.836600655105436E-4, 1.0
428, 2.843228226729514E-4, 2.0
429, 2.849855798353592E-4, 0.0
430, 2.8564833699776704E-4, 1.0
431, 2.8631109416017486E-4, 1.0
432, 2.869738513225826E-4, 4.0
433, 2.8763660848499044E-4, 2.0
434, 2.8829936564739826E-4, 2.0
435, 2.889621228098061E-4, 2.0
436, 2.896248799722139E-4, 2.0
437, 2.902876371346217E-4, 3.0
438, 2.9095039429702954E-4, 0.0
439, 2.9161315145943736E-4, 1.0
440, 2.922759086218451E-4, 2.0
441, 2.9293866578425294E-4, 1.0
442, 2.9360142294666076E-4, 0.0
443, 2.942641801090686E-4, 1.0
444, 2.949269372714764E-4, 1.0
445, 2.955896944338842E-4, 3.0
446, 2.9625245159629204E-4, 2.0
447, 2.969152087586998E-4, 2.0
448, 2.975779659211076E-4, 4.0
449, 2.9824072308351544E-4, 2.0
450, 2.9890348024592326E-4, 1.0
451, 2.995662374083311E-4, 1.0
452, 3.002289945707389E-4, 2.0
453, 3.008917517331467E-4, 1.0
454, 3.0155450889555454E-4, 5.0
455, 3.022172660579623E-4, 0.0
456, 3.028800232203701E-4, 1.0
457, 3.0354278038277795E-4, 5.0
458, 3.0420553754518576E-4, 0.0
459, 3.048682947075936E-4, 2.0
460, 3.055310518700014E-4, 2.0
461, 3.061938090324092E-4, 3.0
462, 3.0685656619481704E-4, 0.0
463, 3.075193233572248E-4, 1.0
464, 3.081820805196326E-4, 1.0
465, 3.0884483768204045E-4, 0.0
466, 3.0950759484444826E-4, 3.0
467, 3.101703520068561E-4, 1.0
468, 3.108331091692639E-4, 1.0
469, 3.114958663316717E-4, 1.0
470, 3.121586234940795E-4, 2.0
471, 3.128213806564873E-4, 1.0
472, 3.134841378188951E-4, 2.0
473, 3.1414689498130295E-4, 1.0
474, 3.1480965214371077E-4, 3.0
475, 3.154724093061186E-4, 1.0
476, 3.161351664685264E-4, 3.0
477, 3.167979236309342E-4, 1.0
478, 3.17460680793342E-4, 2.0
479, 3.181234379557498E-4, 0.0
480, 3.187861951181576E-4, 2.0
481, 3.1944895228056545E-4, 2.0
482, 3.2011170944297327E-4, 2.0
483, 3.207744666053811E-4, 1.0
484, 3.214372237677889E-4, 1.0
485, 3.2209998093019667E-4, 0.0
486, 3.227627380926045E-4, 3.0
487, 3.234254952550123E-4, 2.0
488, 3.2408825241742013E-4, 0.0
489, 3.2475100957982795E-4, 3.0
490, 3.2541376674223577E-4, 1.0
491, 3.260765239046436E-4, 0.0
492, 3.267392810670514E-4, 1.0
493, 3.2740203822945917E-4, 1.0
494, 3.28064795391867E-4, 1.0
495, 3.287275525542748E-4, 4.0
496, 3.2939030971668263E-4, 2.0
497, 3.3005306687909045E-4, 0.0
498, 3.3071582404149827E-4, 4.0
499, 3.313785812039061E-4, 4.0
500, 3.3204133836631385E-4, 2.0
501, 3.3270409552872167E-4, 1.0
502, 3.333668526911295E-4, 2.0
503, 3.340296098535373E-4, 0.0
504, 3.3469236701594513E-4, 3.0
505, 3.3535512417835295E-4, 1.0
506, 3.3601788134076077E-4, 0.0
507, 3.366806385031686E-4, 2.0
508, 3.3734339566557635E-4, 1.0
509, 3.3800615282798417E-4, 1.0
510, 3.38668909990392E-4, 2.0
511, 3.393316671527998E-4, 1.0
512, 3.3999442431520763E-4, 1.0
513, 3.4065718147761545E-4, 0.0
514, 3.4131993864002327E-4, 1.0
515, 3.4198269580243103E-4, 0.0
516, 3.4264545296483885E-4, 1.0
517, 3.4330821012724667E-4, 4.0
518, 3.439709672896545E-4, 5.0
519, 3.446337244520623E-4, 3.0
520, 3.4529648161447013E-4, 1.0
521, 3.4595923877687795E-4, 2.0
522, 3.4662199593928577E-4, 1.0
523, 3.4728475310169353E-4, 0.0
524, 3.4794751026410135E-4, 2.0
525, 3.4861026742650917E-4, 1.0
526, 3.49273024588917E-4, 2.0
527, 3.499357817513248E-4, 2.0
528, 3.5059853891373263E-4, 1.0
529, 3.5126129607614045E-4, 0.0
530, 3.519240532385482E-4, 2.0
531, 3.5258681040095603E-4, 1.0
532, 3.5324956756336385E-4, 1.0
533, 3.5391232472577167E-4, 0.0
534, 3.545750818881795E-4, 1.0
535, 3.552378390505873E-4, 1.0
536, 3.5590059621299513E-4, 1.0
537, 3.5656335337540295E-4, 2.0
538, 3.572261105378107E-4, 0.0
539, 3.5788886770021853E-4, 0.0
540, 3.5855162486262635E-4, 2.0
541, 3.5921438202503417E-4, 3.0
542, 3.59877139187442E-4, 0.0
543, 3.605398963498498E-4, 1.0
544, 3.6120265351225763E-4, 0.0
545, 3.618654106746654E-4, 0.0
546, 3.625281678370732E-4, 0.0
547, 3.6319092499948103E-4, 0.0
548, 3.6385368216188885E-4, 0.0
549, 3.6451643932429667E-4, 0.0
550, 3.651791964867045E-4, 1.0
551, 3.658419536491123E-4, 2.0
552, 3.6650471081152013E-4, 1.0
553, 3.671674679739279E-4, 1.0
554, 3.678302251363357E-4, 2.0
555, 3.6849298229874353E-4, 0.0
556, 3.6915573946115135E-4, 1.0
557, 3.698184966235592E-4, 1.0
558, 3.70481253785967E-4, 2.0
559, 3.711440109483748E-4, 4.0
560, 3.718067681107826E-4, 2.0
561, 3.724695252731904E-4, 3.0
562, 3.731322824355982E-4, 0.0
563, 3.7379503959800603E-4, 1.0
564, 3.7445779676041385E-4, 0.0
565, 3.751205539228217E-4, 3.0
566, 3.757833110852295E-4, 1.0
567, 3.764460682476373E-4, 1.0
568, 3.771088254100451E-4, 3.0
569, 3.777715825724529E-4, 1.0
570, 3.784343397348607E-4, 2.0
571, 3.7909709689726854E-4, 0.0
572, 3.7975985405967635E-4, 1.0
573, 3.804226112220842E-4, 1.0
